filename,SI-SNR,PESQ,OVRL,SIG,BAK,P808_MOS
00006_1_fan_noise_level1_snr+20dB_noisy.wav,18.98,3.302,3.444,3.711,4.158,4.010
00004_1_fan_noise_level1_snr+10dB_noisy.wav,18.19,2.963,3.420,3.690,4.145,3.940
00008_1_fan_noise_level2_snr+0dB_noisy.wav,15.57,2.337,3.397,3.676,4.123,3.818
00007_1_fan_noise_level2_snr-5dB_noisy.wav,12.87,1.859,3.317,3.632,4.050,3.700
00005_1_fan_noise_level1_snr+15dB_noisy.wav,18.69,3.157,3.449,3.712,4.167,3.989
00003_1_fan_noise_level1_snr+5dB_noisy.wav,17.19,2.592,3.385,3.675,4.108,3.888
00001_1_fan_noise_level1_snr-5dB_noisy.wav,12.58,1.755,3.200,3.607,3.865,3.619
00002_1_fan_noise_level1_snr+0dB_noisy.wav,15.33,2.174,3.357,3.665,4.076,3.816
00013_1_clapping_snr-5dB_noisy.wav,10.05,1.455,2.608,3.267,3.314,3.166
00009_1_fan_noise_level2_snr+5dB_noisy.wav,17.29,2.754,3.394,3.677,4.115,3.905
00011_1_fan_noise_level2_snr+15dB_noisy.wav,18.75,3.234,3.418,3.697,4.133,3.985
00012_1_fan_noise_level2_snr+20dB_noisy.wav,19.06,3.298,3.418,3.699,4.132,3.995
00015_1_clapping_snr+5dB_noisy.wav,14.33,1.852,3.103,3.500,3.883,3.808
00010_1_fan_noise_level2_snr+10dB_noisy.wav,18.26,3.079,3.432,3.702,4.148,3.953
00016_1_clapping_snr+10dB_noisy.wav,15.98,2.151,3.268,3.613,4.011,3.900
00014_1_clapping_snr+0dB_noisy.wav,12.37,1.639,2.906,3.383,3.680,3.575
00017_1_clapping_snr+15dB_noisy.wav,17.32,2.433,3.314,3.665,4.001,3.962
00019_1_door_knock_snr-5dB_noisy.wav,11.27,1.744,3.015,3.505,3.645,3.737
00018_1_clapping_snr+20dB_noisy.wav,18.25,2.702,3.364,3.665,4.087,3.967
